Model,Organization,Publication date,Parameters,Training compute (FLOP),Model accessibility,Country (of organization),Organization categorization,Training code accessibility,Open model weights?
Transformer-XL + RMT,"Moscow Institute of Physics and Technology,AIRI Artificial Intelligence Research Institute",14/07/2022,247000000,6.78E+18,Unreleased,"Russia,Russia","Academia,Research collective",Open source,No
Rita-XLarge,"LightOn,Harvard University,University of Oxford",14/07/2022,1200000000,8.64E+20,Open weights (unrestricted),"France,United States of America,United Kingdom of Great Britain and Northern Ireland","Industry,Academia,Academia",Unreleased,Yes
Delphi,"Allen Institute for AI,University of Washington",12/07/2022,11000000000,,Hosted access (no API),"United States of America,United States of America","Research collective,Academia",Unreleased,No
BLOOM-176B,"Hugging Face,BigScience",11/07/2022,1.76247E+11,3.66E+23,Open weights (restricted use),"United States of America,France","Industry,Research collective",Unreleased,Yes
NLLB,Meta AI,06/07/2022,54500000000,1.75E+22,Open weights (unrestricted),United States of America,Industry,Open source,Yes
BLOOM-7.1B,"Hugging Face,BigScience",05/07/2022,7070000000,1.50E+22,Open weights (restricted use),"United States of America,France","Industry,Research collective",Unreleased,Yes
CodeT5-large,Salesforce,05/07/2022,770000000,2.72E+21,Open weights (unrestricted),United States of America,Industry,Open source,Yes
BLOOM-1.7B,"Hugging Face,BigScience",05/07/2022,1700000000,,Open weights (restricted use),"United States of America,France","Industry,Research collective",Unreleased,Yes
BLOOM-560M,"Hugging Face,BigScience",05/07/2022,560000000,,Open weights (restricted use),"United States of America,France","Industry,Research collective",Unreleased,Yes
BLOOM-1B,"Hugging Face,BigScience",05/07/2022,1000000000,,Open weights (restricted use),"United States of America,France","Industry,Research collective",Unreleased,Yes
BLOOM-3B,"Hugging Face,BigScience",05/07/2022,3000000000,,Open weights (restricted use),"United States of America,France","Industry,Research collective",Unreleased,Yes
WebGPT,OpenAI,01/07/2022,1.75E+11,,Unreleased,United States of America,Industry,Unreleased,No
Drahim PFM AI,Drahim,30/06/2022,,,Unreleased,Saudi Arabia,,,No
Minerva (540B),Google,29/06/2022,5.4035E+11,2.74E+24,Unreleased,United States of America,Industry,Unreleased,No
DALL-E mega,Craiyon,28/06/2022,,2.29E+22,Open weights (unrestricted),United States of America,Industry,Open source,Yes
ProGen2-xlarge,"Salesforce Research,Columbia University,Johns Hopkins University",27/06/2022,6400000000,1.35E+22,Open weights (unrestricted),"United States of America,United States of America,United States of America","Industry,Academia,Academia",Unreleased,Yes
ProGen2-base,"Salesforce Research,Columbia University,Johns Hopkins University",27/06/2022,764000000,1.10E+21,Open weights (unrestricted),"United States of America,United States of America,United States of America","Industry,Academia,Academia",,Yes
GPT-SW3,"AI Sweden,RISE",25/06/2022,3500000000,1.67E+21,Unreleased,"Sweden,Sweden",Academia,Unreleased,No
CodeWhisperer,Amazon,24/06/2022,,,Hosted access (no API),United States of America,Industry,Unreleased,No
YaLM,Yandex,23/06/2022,1E+11,2.20E+23,Open weights (unrestricted),Russia,Industry,Unreleased,Yes
Parti,Google Research,22/06/2022,20000000000,5.10E+23,Unreleased,United States of America,Industry,Unreleased,No
CodeGeeX,"Z.ai (Zhipu AI),Tsinghua University",22/06/2022,13000000000,6.63E+22,Open weights (restricted use),"China,China","Industry,Academia",Open source,Yes
OPT-2.7B (finetuned on PTB),Meta AI,21/06/2022,2700000000,,Open weights (unrestricted),United States of America,Industry,Open source,Yes
OPT-1.3B,Meta AI,21/06/2022,1300000000,,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-1.3B (finetuned on PTB),Meta AI,21/06/2022,1300000000,,Open weights (unrestricted),United States of America,Industry,Open source,Yes
OPT-2.7B (finetuned on WT2),Meta AI,21/06/2022,2700000000,,Open weights (unrestricted),United States of America,Industry,Open source,Yes
OPT-125M (finetuned),Meta AI,21/06/2022,125000000,,Open weights (unrestricted),United States of America,Industry,Open source,Yes
OPT-6.7B,Meta AI,21/06/2022,6700000000,1.21E+22,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-66B,Meta AI,21/06/2022,66000000000,1.10E+23,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-350M,Meta AI,21/06/2022,350000000,,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-2.7B,Meta AI,21/06/2022,2700000000,,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-125M (finetuned on PTB),Meta AI,21/06/2022,125000000,,Open weights (unrestricted),United States of America,Industry,Open source,Yes
OPT-30B,Meta AI,21/06/2022,30000000000,5.40E+22,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-1.3B (finetuned),Meta AI,21/06/2022,1300000000,,Open weights (unrestricted),United States of America,Industry,Open source,Yes
Unified-IO (XL),"Allen Institute for AI,University of Washington",17/06/2022,2925000000,3.50E+21,Open weights (unrestricted),"United States of America,United States of America","Research collective,Academia",Unreleased,Yes
CoCa,Google Research,14/06/2022,2100000000,7.30E+22,Unreleased,United States of America,Industry,Unreleased,No
MetaLM,Microsoft Research,13/06/2022,,,Unreleased,United States of America,Industry,Unreleased,No
EGRU (WT2),"Ruhr University Bochum,Technische UniversitÃ¤t Dresden,University of London",13/06/2022,74000000,2.22E+18,Unreleased,"Germany,Germany,United Kingdom of Great Britain and Northern Ireland","Academia,Academia,Academia",Open source,No
EGRU (PTB),"Ruhr University Bochum,Technische UniversitÃ¤t Dresden,University of London",13/06/2022,55000000,,Unreleased,"Germany,Germany,United Kingdom of Great Britain and Northern Ireland","Academia,Academia,Academia",Open source,No
BIG-G 137B,Google,09/06/2022,1.37E+11,5.60E+23,Unreleased,United States of America,Industry,Unreleased,No
LIMoE-H/14,Google,06/06/2022,5600000000,1.80E+22,Unreleased,United States of America,Industry,Unreleased,No
DITTO,"Tsinghua University,Apple,Westlake University,Chinese University of Hong Kong (CUHK)",06/06/2022,750000000,3.32E+18,Unreleased,"China,United States of America,China,Hong Kong","Academia,Industry,Academia,Academia",Open source,No
Diffusion-GAN,"UT Austin,Microsoft",05/06/2022,,,Open weights (unrestricted),"United States of America,United States of America","Academia,Industry",Open source,Yes
B2T connection (16L),"LINE Corporation,Tohoku University",01/06/2022,,2.80E+19,Open weights (unrestricted),"Japan,Japan","Industry,Academia",Open source,Yes
CRL,Ulm University,31/05/2022,,,,Germany,,,
PFP,Preferred Networks Inc,30/05/2022,,,Hosted access (no API),Japan,Industry,,No
CogVideo,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",29/05/2022,9400000000,,Open weights (unrestricted),"China,China","Academia,Academia",Open source,Yes
Tranception,"University of Oxford,Harvard Medical School,Cohere",27/05/2022,700000000,7.24E+21,Open weights (unrestricted),"United Kingdom of Great Britain and Northern Ireland,United States of America,Canada","Academia,Academia,Industry",Open source,Yes
GPT-2 Medium (FlashAttention),"Stanford University,University at Buffalo",27/05/2022,355000000,8.93E+20,Open weights (unrestricted),"United States of America,United States of America","Academia,Academia",Open source,Yes
TRIMELMext (247M),Princeton University,25/05/2022,247000000,3.12E+19,Open weights (non-commercial),United States of America,Academia,Open (non-commercial),Yes
TRIMELMext (7M),Princeton University,25/05/2022,7000000,2.06E+17,Open weights (non-commercial),United States of America,Academia,Open (non-commercial),Yes
TRIMELMlong (150M),Princeton University,25/05/2022,150000000,6.48E+18,Open weights (non-commercial),United States of America,Academia,Open (non-commercial),Yes
Imagen,Google Brain,23/05/2022,7762000000,1.46E+22,API access,United States of America,Industry,Unreleased,No
improved U-Net for chest X-ray images segmentation,"Henan University of Technology,Nanyang Central Hospital",23/05/2022,,,,"China,China","Academia,Government",,
LSTM+GraB,Cornell University,22/05/2022,,,Unreleased,United States of America,Academia,Open source,No
SimCSE,"Princeton University,Tsinghua University",18/05/2022,,,Open weights (unrestricted),"United States of America,China","Academia,Academia",Open source,Yes
Gato,DeepMind,12/05/2022,1180000000,4.02E+21,Unreleased,United Kingdom of Great Britain and Northern Ireland,Industry,Unreleased,No
UL2,"Google Research,Google Brain",10/05/2022,20000000000,1.20E+23,Open weights (unrestricted),"United States of America,United States of America","Industry,Industry",Unreleased,Yes
ASE,"NVIDIA,University of California (UC) Berkeley",05/05/2022,,4.49E+19,,"United States of America,United States of America","Industry,Academia",,
StyleGAN-XL,"Max Planck Institute for Intelligent Systems,University of TÃ¼bingen",05/05/2022,,1.30E+21,Open weights (unrestricted),"Germany,Germany","Academia,Academia",Open source,Yes
DeBERTaV3large + KEAR,Microsoft,04/05/2022,418000000,,Unreleased,United States of America,Industry,Open source,No
Jurassic-X,AI21 Labs,03/05/2022,7000000000,,API access,Israel,Industry,Unreleased,No
OPT-175B,Meta AI,02/05/2022,1.75E+11,4.30E+23,Open weights (non-commercial),United States of America,Industry,Open source,Yes
OPT-13B,Meta AI,02/05/2022,13000000000,3.53E+23,,United States of America,Industry,,
Flamingo,DeepMind,29/04/2022,80000000000,2.19E+23,Unreleased,United Kingdom of Great Britain and Northern Ireland,Industry,Unreleased,No
CogView2,"Tsinghua University,Beijing Academy of Artificial Intelligence / BAAI",28/04/2022,6000000000,2.27E+22,,"China,China","Academia,Academia",,
GraphBP,"Texas A&M,Fujitsu",19/04/2022,,,,"United States of America,Japan","Academia,Industry",,
LaMemo,"Tsinghua University,NetEase,Oppo Mobile Telecommunications",15/04/2022,151000000,,Open weights (unrestricted),"China,China,China","Academia,Industry,Industry",Open source,Yes
Sparse all-MLP,Meta AI,14/04/2022,9410000000,5.32E+20,Unreleased,United States of America,Industry,Unreleased,No
XMC-GAN,Google Research,14/04/2022,,,Unreleased,United States of America,Industry,Unreleased,No
Stable Diffusion (LDM-KL-8-G),"Runway,Ludwig Maximilian University of Munich,Heidelberg University",13/04/2022,1450000000,5.00E+22,Open weights (unrestricted),"United States of America,Germany,Germany","Industry,Academia,Academia",Open source,Yes
STT Conformer-Transducer XL,NVIDIA,12/04/2022,600000000,,Open weights (unrestricted),United States of America,Industry,Unreleased,Yes
VLM-4,LightOn,12/04/2022,,,API access,France,Industry,Unreleased,No
BERT-RBP,Waseda University,07/04/2022,110000000,1.40E+20,Open weights (non-commercial),Japan,Academia,Open (non-commercial),Yes
DALLÂ·E 2,OpenAI,06/04/2022,3500000000,3.37E+23,API access,United States of America,Industry,Unreleased,No
GemNet-OC,,06/04/2022,,,,,,,
PaLM (540B),Google Research,04/04/2022,5.4035E+11,2.53E+24,Unreleased,United States of America,Industry,Unreleased,No
Monarch-GPT-2-Medium,"Stanford University,University at Buffalo,University of Michigan",01/04/2022,165000000,4.36E+20,Unreleased,"United States of America,United States of America,United States of America","Academia,Academia,Academia",Open source,No
Monarch-GPT-2-Small,"Stanford University,University at Buffalo,University of Michigan",01/04/2022,72000000,9.00E+19,Unreleased,"United States of America,United States of America,United States of America","Academia,Academia,Academia",Open source,No
NoPos,"Tel Aviv University,University of Washington,Intel Labs,Meta AI",30/03/2022,1300000000,2.10E+19,Unreleased,"Israel,United States of America,United States of America,United States of America","Academia,Academia,Industry,Industry",Unreleased,No
Chinchilla,DeepMind,29/03/2022,70000000000,5.76E+23,Unreleased,United Kingdom of Great Britain and Northern Ireland,Industry,Unreleased,No
BaGuaLu,"Tsinghua University,Zhejiang Lab,Beijing Academy of Artificial Intelligence / BAAI,Alibaba",28/03/2022,1.739E+14,,,"China,China,China,China","Academia,Academia,Industry",,
GraSR,"Shanghai Jiao Tong University,Ministry of Education of China",24/03/2022,,3.80E+18,Open weights (unrestricted),"China,China","Academia,Government",Open (non-commercial),Yes
Make-A-Scene,Meta AI,24/03/2022,4000000000,6.42E+21,Unreleased,United States of America,Industry,Unreleased,No
MemSizer (language modeling),"Meta AI,Chinese University of Hong Kong (CUHK)",23/03/2022,357000000,7.30E+18,Unreleased,"United States of America,Hong Kong","Industry,Academia",Open (non-commercial),No
"Segatron-XL large, M=384 + HCP","Microsoft Research,University of Waterloo",21/03/2022,257000000,2.65E+19,Unreleased,"United States of America,Canada","Industry,Academia",Open (non-commercial),No
Transformer Large + HCP,"University of Waterloo,Microsoft Research",21/03/2022,257000000,6.06E+18,Unreleased,"Canada,United States of America","Academia,Industry",Open (non-commercial),No
"Segatron -XL base, M=150 + HCP","Microsoft Research,University of Waterloo",21/03/2022,151000000,1.74E+18,Unreleased,"United States of America,Canada","Industry,Academia",Open (non-commercial),No
"GPT-3.5 (davinci-002)
",OpenAI,15/03/2022,,2.58E+24,API access,United States of America,Industry,Unreleased,No
ViT-G (model soup),"University of Washington,Columbia University,Google,Meta AI,Tel Aviv University",10/03/2022,1843000000,3.40E+21,Open weights (non-commercial),"United States of America,United States of America,United States of America,United States of America,Israel","Academia,Academia,Industry,Industry,Academia",Unreleased,Yes
GPT3-6.7B + muP,"Microsoft,OpenAI",07/03/2022,6700000000,1.28E+22,Unreleased,"United States of America,United States of America","Industry,Industry",Unreleased,No
MegaSyn,Collaborations Pharmaceuticals,07/03/2022,,,Hosted access (no API),United States of America,Industry,Unreleased,No
RQ-Transformer (LSUN-cat dataset),"Kakao,POSTECH",03/03/2022,612000000,2.91E+18,,"Korea (Republic of),Korea (Republic of)","Industry,Academia",,
RQ-Transformer (1.4B params ImageNet dataset),"Kakao,POSTECH",03/03/2022,1388000000,1.06E+20,,"Korea (Republic of),Korea (Republic of)","Industry,Academia",,
RQ-Transformer (3.8B params ImageNet dataset),"Kakao,POSTECH",03/03/2022,3822000000,2.91E+20,,"Korea (Republic of),Korea (Republic of)","Industry,Academia",,
